sample.id	reads.raw	reads.trim	reads.hg38	reads.t2t	reads.rRNA	reads.virgo
SRR6744517_1	48408010	46358723	30615208	30498033	30487627	24586279
SRR6744518_1	47018973	45145300	39444990	39437978	39433809	28450063
SRR6744519_1	42632568	40356531	4744141	4732550	4721351	2432290
SRR6744521_1	48708057	46360707	40693239	40685675	40681792	30557624
SRR6744523_1	46442884	45746272	41909391	41905125	41894938	31453197
SRR6744535_1	50700437	49249009	45540487	45536494	45533601	32548702
SRR6744539_1	56557228	55213374	55119053	55118720	55071516	21134079
SRR6744546_1	41916844	40583316	16244080	16199603	16189634	12116919
SRR6744547_1	39758208	38359044	9364157	9354222	9345724	6687387
SRR6744553_1	62569946	61171353	28949233	28932780	28923304	20924298
SRR6744562_1	26497338	25807039	18241430	18215303	18210786	14112981
SRR6744563_1	45009820	43848540	42367795	42363890	42352690	13966566
SRR6744564_1	62438089	60404730	41505479	41289967	41285832	33304197
SRR6744565_1	92062653	89295994	28323090	28284458	28237921	19979225
SRR6744567_1	920458	888835	427618	427304	426719	302507
SRR6744571_1	78924734	75785539	51360269	51344879	51331804	33441453
SRR6744574_1	32326103	31518770	19376395	19309650	19266585	13965206
SRR6744576_1	34184396	32248207	3897949	3886407	3875343	1310228
SRR6744581_1	65096837	63434434	48584076	48556647	48537497	32601411
SRR6744593_1	60891097	59664544	51546280	51542975	51501449	30162334
SRR6744599_1	85985527	83512674	69527625	69507340	69502393	54991827
SRR6744600_1	51899899	50416768	41139138	41132704	41130017	26948210
SRR6744603_1	43046305	40873167	37828336	37825947	37822406	7921862
SRR6744606_1	62778931	60283517	60051105	60050413	60008510	17241964
SRR6744609_1	31543044	30110734	6734284	6722022	6703875	4584480
SRR6744611_1	95981530	93717257	69034511	69025628	69005922	43761078
SRR6744613_1	35194349	32645716	19093002	19084787	19077360	13202861
SRR6744619_1	16704859	15851532	6074602	6069319	6057877	4466326
SRR6744620_1	60053613	58932715	56289606	56287564	56283572	37495652
SRR6744623_1	4236233	4138380	2983278	2982358	2979641	2332354
SRR6744629_1	30551091	29478199	19642767	19513949	19510705	15746516
SRR6744630_1	42283706	40423960	1935780	1910834	1901515	857999
SRR6744632_1	46344945	45431298	34328214	34320663	34311719	22697077
SRR6744635_1	43593197	42452945	17888700	17867013	17809066	5651379
SRR6744638_1	44373529	42045433	8763326	8744213	8713316	4856289
SRR6744639_1	64776968	62507676	34152595	34139623	34128696	24821071
SRR6744649_1	19540797	18962609	9341004	9332154	9327961	6636314
SRR6744653_1	54597200	52459495	25047968	25028743	25015127	16193271
SRR6744658_1	38275137	37040334	32975984	32973654	32971118	23914873
SRR6744665_1	46999668	46075154	25366402	25031621	25025148	20608101
SRR6744667_1	15674398	14294889	11871102	11870251	11869355	8431796
SRR6744673_1	44221887	43021976	16360049	16339713	16334922	11229366
SRR6744674_1	38281778	36911271	28978728	28966301	28960186	21453607
SRR6744680_1	46912702	45213249	42190193	42184575	42176726	30479386
SRR6744684_1	38848248	37247724	35941655	35940298	35935394	25458173
SRR6744685_1	63800525	62272119	61477498	61476570	61472481	44297880
SRR6744689_1	20598642	19878689	8976054	8971666	8969261	6844207
SRR6744695_1	1492088	785425	153091	152583	151823	79796
SRR6744696_1	68273305	67358016	65282877	65277696	65267484	32394672
SRR6744701_1	53387141	52084460	35030108	34986150	34979107	24415285
SRR6744702_1	49373312	48603408	44378615	44376808	44374731	33924604
SRR6744705_1	8406302	8127349	4076822	4074964	4072981	2637535
SRR6744707_1	40060816	39297271	31664994	31657475	31651546	24100562
SRR6744710_1	66725206	64112741	61230104	61228283	61225085	42880433
SRR6744713_1	48894435	47996695	30798471	30790338	30785357	22495648
SRR6744718_1	49386049	46720397	27946919	27810732	27800415	19323249
SRR6744723_1	69380253	67892163	31135885	31119154	31105551	4518123
SRR6744726_1	57463952	55763089	43429743	43415930	43404766	27426487
SRR6744729_1	55679755	53634570	39177380	39162445	39158631	30007987
SRR6744735_1	29867538	29079664	22290973	22287879	22283186	13400451
SRR6744739_1	61073131	59305452	38004047	37992414	37982470	26843634
SRR6744745_1	31114674	29815501	10161321	10140022	10130826	5547604
SRR6744747_1	34091354	32927055	23839686	23832686	23826372	18773666
SRR6744749_1	33627994	31618919	6801199	6789678	6777378	4829232
SRR6744756_1	32070687	31024598	20090758	20082576	20075216	14363761
SRR6744758_1	43002960	41557475	36539774	36535720	36532207	8357149
SRR6744759_1	2731078	2630438	1269631	1267497	1266889	874594
SRR6744760_1	68185532	66916872	44988483	44961610	44936537	35367722
SRR6744766_1	36575564	34488216	24605577	24560739	24555902	19314966
SRR6744770_1	40793696	38298950	19798772	19759848	19753641	15030281
SRR6744777_1	37024831	35983326	18443862	18364075	18356284	13044329
SRR6744778_1	35248278	33181473	20215047	20200242	20189922	14919149
SRR6744780_1	50283974	47955021	23193450	23170445	23164285	15200222
SRR6744783_1	74302973	71924233	56532922	56522198	56507896	43113028
SRR6744790_1	1592009	1532590	853834	853462	853141	377426
SRR6744793_1	47160451	45771917	15459801	15449238	15443629	10858235
SRR6744794_1	59306820	57870198	49076767	49070532	49065668	39580638
SRR6744796_1	65065310	63242320	60822229	60817897	60808152	46863203
SRR6744800_1	133517279	131504995	131079533	131079196	131039621	24825159
SRR6744803_1	46244812	44859828	37171440	37166225	37154493	27289689
SRR6744804_1	49177516	48024425	40212905	40209696	40203873	30965144
SRR6744805_1	30604047	29804634	26568577	26566927	26564212	19063635
SRR6744809_1	68890837	66473072	21943016	21918524	21887399	15876048
SRR6744815_1	31870581	31060759	11614518	11599200	11596924	7783039
SRR6744819_1	56837352	55350625	49178207	49173101	49156834	30591384
